rank_by_val,model,stack_level,val_auc,val_acc,test_auc,test_acc,n_val,n_test,fit_time,pred_time_val,can_infer
1,WeightedEnsemble_L3,3,0.7044117647058823,0.6486486486486487,0.693939393939394,0.6301369863013698,74,73,60.89265179634094,0.6723678112030029,True
2,WeightedEnsemble_L2,2,0.700735294117647,0.6486486486486487,0.6916666666666667,0.6301369863013698,74,73,6.278675317764282,0.2804751396179199,True
3,NeuralNetFastAI_r191_BAG_L1,1,0.7,0.6756756756756757,0.6818181818181818,0.6438356164383562,74,73,3.856791257858277,0.2275500297546386,True
4,NeuralNetFastAI_r191_BAG_L2,2,0.6786764705882353,0.6621621621621622,0.7204545454545455,0.7123287671232876,74,73,62.642712116241455,0.7919425964355469,True
5,NeuralNetFastAI_BAG_L1,1,0.674264705882353,0.6621621621621622,0.6871212121212121,0.6438356164383562,74,73,3.534207582473755,0.0931379795074462,True
6,NeuralNetFastAI_BAG_L2,2,0.6669117647058823,0.6891891891891891,0.7204545454545453,0.6712328767123288,74,73,62.24034643173218,0.7188444137573242,True
7,LightGBMXT_BAG_L2,2,0.6514705882352941,0.581081081081081,0.7416666666666667,0.6712328767123288,74,73,60.84769415855408,0.6717796325683594,True
8,LightGBM_r96_BAG_L2,2,0.6455882352941177,0.5675675675675675,0.7446969696969696,0.684931506849315,74,73,60.53832507133484,0.6702046394348145,True
9,CatBoost_BAG_L2,2,0.636764705882353,0.581081081081081,0.7227272727272728,0.6712328767123288,74,73,125.89630484580994,0.6918730735778809,True
10,LightGBM_r131_BAG_L2,2,0.6367647058823529,0.5675675675675675,0.753030303030303,0.6438356164383562,74,73,64.07310748100281,0.6689226627349854,True
11,LightGBMXT_BAG_L1,1,0.6367647058823529,0.5540540540540541,0.7446969696969697,0.684931506849315,74,73,2.3712234497070312,0.0525615215301513,True
12,LightGBMLarge_BAG_L2,2,0.6360294117647058,0.5405405405405406,0.7856060606060606,0.6712328767123288,74,73,76.6207115650177,0.6647610664367676,True
13,CatBoost_r9_BAG_L2,2,0.6352941176470588,0.581081081081081,0.7219696969696969,0.6712328767123288,74,73,120.52958035469057,0.7448725700378418,True
14,NeuralNetFastAI_r102_BAG_L1,1,0.6323529411764706,0.5945945945945946,0.7060606060606059,0.6164383561643836,74,73,4.762523412704468,0.1851263046264648,True
15,CatBoost_r177_BAG_L2,2,0.6301470588235295,0.581081081081081,0.7227272727272728,0.6575342465753424,74,73,123.05187153816225,0.7437076568603516,True
16,RandomForestGini_BAG_L2,2,0.6297794117647059,0.6081081081081081,0.6920454545454544,0.6438356164383562,74,73,59.19114804267883,0.6606793403625488,True
17,CatBoost_r137_BAG_L1,1,0.6294117647058823,0.527027027027027,0.7303030303030302,0.684931506849315,74,73,19.24704885482788,0.11930513381958,True
18,ExtraTrees_r42_BAG_L1,1,0.6275735294117648,0.6216216216216216,0.7,0.6575342465753424,74,73,0.4787373542785644,0.0453577041625976,True
19,CatBoost_BAG_L1,1,0.625,0.581081081081081,0.7098484848484848,0.6438356164383562,74,73,99.24509263038637,0.3749575614929199,True
20,ExtraTreesEntr_BAG_L1,1,0.6231617647058824,0.6351351351351351,0.6348484848484848,0.6027397260273972,74,73,0.79282546043396,0.0785977840423584,True
21,RandomForestEntr_BAG_L1,1,0.6172794117647058,0.5945945945945946,0.671969696969697,0.6575342465753424,74,73,0.5075945854187012,0.0511167049407959,True
22,ExtraTreesGini_BAG_L2,2,0.6154411764705883,0.5945945945945946,0.675,0.6438356164383562,74,73,59.50752019882202,0.6661629676818848,True
23,ExtraTreesGini_BAG_L1,1,0.6139705882352942,0.5945945945945946,0.678030303030303,0.6164383561643836,74,73,0.8105344772338867,0.055814504623413,True
24,XGBoost_r33_BAG_L1,1,0.6110294117647059,0.5540540540540541,0.7053030303030303,0.6438356164383562,74,73,32.24505043029785,0.1211209297180175,True
25,LightGBM_r96_BAG_L1,1,0.6095588235294118,0.5135135135135135,0.7227272727272728,0.6712328767123288,74,73,2.384080410003662,0.0572004318237304,True
26,LightGBM_BAG_L2,2,0.6095588235294117,0.5675675675675675,0.7515151515151516,0.6575342465753424,74,73,62.113718032836914,0.6508913040161133,True
27,CatBoost_r9_BAG_L1,1,0.6088235294117648,0.581081081081081,0.6984848484848485,0.6438356164383562,74,73,286.3467400074005,0.1623435020446777,True
28,LightGBM_r131_BAG_L1,1,0.6080882352941177,0.527027027027027,0.728030303030303,0.6164383561643836,74,73,6.448541879653931,0.0493276119232177,True
29,RandomForestEntr_BAG_L2,2,0.6066176470588235,0.5945945945945946,0.6693181818181818,0.6575342465753424,74,73,59.20146656036377,0.6741254329681396,True
30,CatBoost_r177_BAG_L1,1,0.6058823529411765,0.5675675675675675,0.7159090909090909,0.6438356164383562,74,73,58.75039124488831,0.1208930015563964,True
31,LightGBM_BAG_L1,1,0.6014705882352941,0.5,0.7265151515151516,0.6712328767123288,74,73,3.549933910369873,0.0236642360687255,True
32,ExtraTreesEntr_BAG_L2,2,0.6000000000000001,0.6216216216216216,0.6772727272727274,0.6575342465753424,74,73,59.52339959144592,0.667522668838501,True
33,XGBoost_BAG_L1,1,0.5992647058823529,0.5540540540540541,0.7143939393939394,0.6301369863013698,74,73,7.345656394958496,0.123319387435913,True
34,XGBoost_BAG_L2,2,0.5985294117647059,0.5675675675675675,0.7234848484848485,0.6301369863013698,74,73,66.75104260444641,0.739314079284668,True
35,RandomForestGini_BAG_L1,1,0.5875,0.5945945945945946,0.6587121212121213,0.6438356164383562,74,73,0.5522642135620117,0.0596423149108886,True
36,LightGBMLarge_BAG_L1,1,0.5845588235294117,0.4864864864864865,0.6969696969696969,0.6164383561643836,74,73,17.886264085769653,0.0580208301544189,True
