model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L3,0.7044117647058823,roc_auc,0.6723678112030029,60.89265179634094,0.0005881786346435547,0.044957637786865234,3,True,36
WeightedEnsemble_L2,0.700735294117647,roc_auc,0.2804751396179199,6.278675317764282,0.0003635883331298828,0.05066061019897461,2,True,20
NeuralNetFastAI_r191_BAG_L1,0.7,roc_auc,0.22755002975463867,3.8567912578582764,0.22755002975463867,3.8567912578582764,1,True,13
NeuralNetFastAI_r191_BAG_L2,0.6786764705882353,roc_auc,0.7919425964355469,62.642712116241455,0.17493057250976562,3.9362661838531494,2,True,33
NeuralNetFastAI_BAG_L1,0.674264705882353,roc_auc,0.09313797950744629,3.534207582473755,0.09313797950744629,3.534207582473755,1,True,8
NeuralNetFastAI_BAG_L2,0.6669117647058823,roc_auc,0.7188444137573242,62.24034643173218,0.10183238983154297,3.533900499343872,2,True,28
LightGBMXT_BAG_L2,0.6514705882352941,roc_auc,0.6717796325683594,60.84769415855408,0.054767608642578125,2.1412482261657715,2,True,21
LightGBM_r96_BAG_L2,0.6455882352941177,roc_auc,0.6702046394348145,60.53832507133484,0.0531926155090332,1.8318791389465332,2,True,35
LightGBM_r131_BAG_L2,0.636764705882353,roc_auc,0.6689226627349854,64.07310748100281,0.0519106388092041,5.366661548614502,2,True,32
CatBoost_BAG_L2,0.636764705882353,roc_auc,0.6918730735778809,125.89630484580994,0.07486104965209961,67.18985891342163,2,True,25
LightGBMXT_BAG_L1,0.6367647058823529,roc_auc,0.05256152153015137,2.3712234497070312,0.05256152153015137,2.3712234497070312,1,True,1
LightGBMLarge_BAG_L2,0.6360294117647058,roc_auc,0.6647610664367676,76.6207115650177,0.04774904251098633,17.914265632629395,2,True,30
CatBoost_r9_BAG_L2,0.6352941176470589,roc_auc,0.7448725700378418,120.52958035469055,0.12786054611206055,61.823134422302246,2,True,34
NeuralNetFastAI_r102_BAG_L1,0.6323529411764706,roc_auc,0.18512630462646484,4.762523412704468,0.18512630462646484,4.762523412704468,1,True,19
CatBoost_r177_BAG_L2,0.6301470588235295,roc_auc,0.7437076568603516,123.05187153816223,0.1266956329345703,64.34542560577393,2,True,31
RandomForestGini_BAG_L2,0.6297794117647059,roc_auc,0.6606793403625488,59.19114804267883,0.04366731643676758,0.48470211029052734,2,True,23
CatBoost_r137_BAG_L1,0.6294117647058823,roc_auc,0.11930513381958008,19.24704885482788,0.11930513381958008,19.24704885482788,1,True,18
ExtraTrees_r42_BAG_L1,0.6275735294117647,roc_auc,0.045357704162597656,0.47873735427856445,0.045357704162597656,0.47873735427856445,1,True,17
CatBoost_BAG_L1,0.625,roc_auc,0.3749575614929199,99.24509263038635,0.3749575614929199,99.24509263038635,1,True,5
ExtraTreesEntr_BAG_L1,0.6231617647058824,roc_auc,0.0785977840423584,0.79282546043396,0.0785977840423584,0.79282546043396,1,True,7
RandomForestEntr_BAG_L1,0.6172794117647058,roc_auc,0.0511167049407959,0.5075945854187012,0.0511167049407959,0.5075945854187012,1,True,4
ExtraTreesGini_BAG_L2,0.6154411764705883,roc_auc,0.6661629676818848,59.50752019882202,0.049150943756103516,0.8010742664337158,2,True,26
ExtraTreesGini_BAG_L1,0.613970588235294,roc_auc,0.055814504623413086,0.8105344772338867,0.055814504623413086,0.8105344772338867,1,True,6
XGBoost_r33_BAG_L1,0.6110294117647058,roc_auc,0.12112092971801758,32.24505043029785,0.12112092971801758,32.24505043029785,1,True,16
LightGBM_r96_BAG_L1,0.6095588235294117,roc_auc,0.05720043182373047,2.384080410003662,0.05720043182373047,2.384080410003662,1,True,15
LightGBM_BAG_L2,0.6095588235294117,roc_auc,0.6508913040161133,62.113718032836914,0.03387928009033203,3.4072721004486084,2,True,22
CatBoost_r9_BAG_L1,0.6088235294117647,roc_auc,0.16234350204467773,286.3467400074005,0.16234350204467773,286.3467400074005,1,True,14
LightGBM_r131_BAG_L1,0.6080882352941177,roc_auc,0.04932761192321777,6.448541879653931,0.04932761192321777,6.448541879653931,1,True,12
RandomForestEntr_BAG_L2,0.6066176470588235,roc_auc,0.6741254329681396,59.20146656036377,0.0571134090423584,0.49502062797546387,2,True,24
CatBoost_r177_BAG_L1,0.6058823529411764,roc_auc,0.12089300155639648,58.750391244888306,0.12089300155639648,58.750391244888306,1,True,11
LightGBM_BAG_L1,0.6014705882352941,roc_auc,0.023664236068725586,3.549933910369873,0.023664236068725586,3.549933910369873,1,True,2
ExtraTreesEntr_BAG_L2,0.6000000000000001,roc_auc,0.667522668838501,59.52339959144592,0.05051064491271973,0.8169536590576172,2,True,27
XGBoost_BAG_L1,0.5992647058823529,roc_auc,0.12331938743591309,7.345656394958496,0.12331938743591309,7.345656394958496,1,True,9
XGBoost_BAG_L2,0.5985294117647059,roc_auc,0.739314079284668,66.75104260444641,0.12230205535888672,8.044596672058105,2,True,29
RandomForestGini_BAG_L1,0.5875,roc_auc,0.05964231491088867,0.5522642135620117,0.05964231491088867,0.5522642135620117,1,True,3
LightGBMLarge_BAG_L1,0.5845588235294118,roc_auc,0.058020830154418945,17.886264085769653,0.058020830154418945,17.886264085769653,1,True,10
