model,val_roc_auc,val_pr_auc,roc_auc,pr_auc,acc,precision,recall,f1,specificity,tn,fp,fn,tp,threshold,n_test
mlp,,,0.8696969696969697,0.8014580700067823,0.8082191780821918,0.7714285714285715,0.8181818181818182,0.7941176470588235,0.8,32,8,6,27,0.5,73
logreg,0.7698529411764706,0.791183766292873,0.8553030303030302,0.8383991791992791,0.7671232876712328,0.7352941176470589,0.7575757575757576,0.746268656716418,0.775,31,9,8,25,0.5,73
mean_ensemble,,,0.853030303030303,0.8354263688723688,0.7808219178082192,0.7741935483870968,0.7272727272727273,0.75,0.825,33,7,9,24,0.5,73
catboost,0.7419117647058824,0.7393585713388653,0.8166666666666667,0.7969494599688645,0.7534246575342466,0.7419354838709677,0.696969696969697,0.71875,0.8,32,8,10,23,0.5,73
lightgbm,0.7393382352941177,0.7245566731295975,0.7818181818181819,0.7520657505670868,0.6438356164383562,0.6,0.6363636363636364,0.6176470588235294,0.65,26,14,12,21,0.5,73
xgboost,0.7470588235294118,0.718794793011827,0.7803030303030303,0.7672528864648289,0.6712328767123288,0.6666666666666666,0.5454545454545454,0.6,0.775,31,9,15,18,0.5,73
