rank,model,color
125,NeuralNetFastAI_r103_BAG_L1,#5254a3
126,NeuralNetFastAI_r100_BAG_L1,#637939
127,LightGBM_r143_BAG_L1,#8c6d31
128,CatBoost_r177_BAG_L1,#843c39
129,LightGBM_r131_BAG_L2,#1f77b4
130,XGBoost_BAG_L1,#d62728
131,LightGBM_r196_BAG_L2,#2ca02c
132,XGBoost_r49_BAG_L2,#9467bd
133,CatBoost_r86_BAG_L1,#ff7f0e
134,RandomForestEntr_BAG_L1,#17becf
135,LightGBM_BAG_L2,#e377c2
136,RandomForest_r39_BAG_L2,#8c564b
137,LightGBMXT_BAG_L2,#bcbd22
138,NeuralNetFastAI_r145_BAG_L2,#7f7f7f
139,RandomForestGini_BAG_L2,#393b79
140,ExtraTreesGini_BAG_L2,#b15928
141,CatBoost_BAG_L1,#5254a3
142,LightGBM_r143_BAG_L2,#637939
143,LightGBM_r121_BAG_L2,#8c6d31
144,ExtraTrees_r42_BAG_L1,#843c39
145,LightGBM_r161_BAG_L2,#1f77b4
146,ExtraTreesEntr_BAG_L2,#d62728
147,LightGBM_r131_BAG_L1,#2ca02c
148,NeuralNetFastAI_r127_BAG_L2,#9467bd
149,XGBoost_r98_BAG_L2,#ff7f0e
150,LightGBM_BAG_L1,#17becf
151,XGBoost_r33_BAG_L1,#e377c2
152,NeuralNetFastAI_BAG_L1,#8c564b
153,NeuralNetFastAI_r95_BAG_L1,#bcbd22
154,CatBoost_r9_BAG_L1,#7f7f7f
155,LightGBM_r135_BAG_L2,#393b79
156,NeuralNetFastAI_r127_BAG_L1,#b15928
157,NeuralNetFastAI_r134_BAG_L1,#5254a3
158,ExtraTreesGini_BAG_L1,#637939
159,XGBoost_r22_BAG_L2,#8c6d31
160,NeuralNetFastAI_r191_BAG_L1,#843c39
161,XGBoost_BAG_L2,#1f77b4
162,NeuralNetFastAI_r138_BAG_L1,#d62728
163,LightGBMLarge_BAG_L1,#2ca02c
164,RandomForestEntr_BAG_L2,#9467bd
165,RandomForestGini_BAG_L1,#ff7f0e
166,LightGBM_r130_BAG_L2,#17becf
167,ExtraTreesEntr_BAG_L1,#e377c2
168,LightGBM_r188_BAG_L2,#8c564b
169,LightGBM_r135_BAG_L1,#bcbd22
170,NeuralNetFastAI_r11_BAG_L1,#7f7f7f
171,RandomForest_r34_BAG_L1,#393b79
172,LightGBM_r96_BAG_L1,#b15928
173,LightGBM_r130_BAG_L1,#5254a3
