model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,0.6919117647058824,roc_auc,0.4872093200683594,6.707768440246582,0.0003676414489746094,0.021022796630859375,2,True,88
WeightedEnsemble_L3,0.6919117647058823,roc_auc,0.5567326545715332,9.60696530342102,0.0003654956817626953,0.03617739677429199,3,True,173
NeuralNetFastAI_r65_BAG_L1,0.6852941176470589,roc_auc,0.10911011695861816,3.811763286590576,0.10911011695861816,3.811763286590576,1,True,54
NeuralNetFastAI_r11_BAG_L2,0.6830882352941177,roc_auc,0.621875524520874,10.944808006286621,0.08401155471801758,3.3424673080444336,2,True,115
NeuralNetFastAI_r156_BAG_L1,0.6808823529411765,roc_auc,0.12032747268676758,3.425480842590332,0.12032747268676758,3.425480842590332,1,True,35
NeuralNetFastAI_r172_BAG_L1,0.6683823529411764,roc_auc,0.13759493827819824,3.9917068481445312,0.13759493827819824,3.9917068481445312,1,True,72
NeuralNetFastAI_r100_BAG_L1,0.6647058823529411,roc_auc,0.16947174072265625,4.243396282196045,0.16947174072265625,4.243396282196045,1,True,81
NeuralNetFastAI_r172_BAG_L2,0.6625,roc_auc,0.6259171962738037,11.326536417007446,0.08805322647094727,3.724195718765259,2,True,160
NeuralNetFastAI_r156_BAG_L2,0.6602941176470588,roc_auc,0.6406257152557373,12.010544300079346,0.10276174545288086,4.408203601837158,2,True,123
RandomForestEntr_BAG_L1,0.6591911764705882,roc_auc,0.24536538124084473,0.7314450740814209,0.24536538124084473,0.7314450740814209,1,True,4
NeuralNetFastAI_r88_BAG_L2,0.6588235294117647,roc_auc,0.6421504020690918,11.587238073348999,0.10428643226623535,3.9848973751068115,2,True,143
NeuralNetFastAI_r65_BAG_L2,0.6580882352941176,roc_auc,0.678490400314331,11.699145078659058,0.1406264305114746,4.09680438041687,2,True,142
ExtraTrees_r126_BAG_L1,0.6566176470588235,roc_auc,0.04564785957336426,0.9854681491851807,0.04564785957336426,0.9854681491851807,1,True,80
NeuralNetFastAI_r111_BAG_L1,0.6536764705882353,roc_auc,0.14609551429748535,3.675048828125,0.14609551429748535,3.675048828125,1,True,52
NeuralNetFastAI_r160_BAG_L2,0.6536764705882353,roc_auc,0.6257822513580322,10.835587501525879,0.08791828155517578,3.2332468032836914,2,True,151
NeuralNetFastAI_r194_BAG_L1,0.6522058823529412,roc_auc,0.08905243873596191,2.978984832763672,0.08905243873596191,2.978984832763672,1,True,77
CatBoost_r167_BAG_L2,0.6522058823529411,roc_auc,0.5563671588897705,9.570787906646729,0.018503189086914062,1.968447208404541,2,True,126
NeuralNetFastAI_r143_BAG_L1,0.6507352941176471,roc_auc,0.1149590015411377,4.9229631423950195,0.1149590015411377,4.9229631423950195,1,True,33
XGBoost_r49_BAG_L1,0.650735294117647,roc_auc,0.06040310859680176,0.5157227516174316,0.06040310859680176,0.5157227516174316,1,True,57
NeuralNetFastAI_BAG_L2,0.649264705882353,roc_auc,0.598405122756958,10.781814336776733,0.06054115295410156,3.179473638534546,2,True,96
NeuralNetFastAI_r37_BAG_L1,0.6470588235294118,roc_auc,0.09270715713500977,4.467893838882446,0.09270715713500977,4.467893838882446,1,True,43
XGBoost_BAG_L1,0.6470588235294117,roc_auc,0.18622899055480957,0.4888763427734375,0.18622899055480957,0.4888763427734375,1,True,9
